Company Name,URL,Company Info
Weyerhaeuser Company,"https://www.glassdoor.com.au/Overview/Working-at-Weyerhaeuser-EI_IE730.11,23.htm","www.weyerhaeuser.com; Seattle, United States; 5001 to 10000 Employees; 29 Locations; Type: Company - Public (WY); Founded in 1900; Revenue: $5 to $10 billion (USD); Wood & Paper Manufacturing"
Whirlpool Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Whirlpool-Corporation-EI_IE732.11,32.htm","whirlpoolcorp.com/; Benton Harbor, United States; 10000+ Employees; 23 Locations; Type: Company - Public (WHR); Founded in 1911; Revenue: $10+ billion (USD); Consumer Product Manufacturing"
"The Williams Companies, Inc","https://www.glassdoor.com.au/Overview/Working-at-Williams-EI_IE736.11,19.htm","www.williams.com; Tulsa, United States; 5001 to 10000 Employees; 10 Locations; Type: Company - Public (WMB); Founded in 1908; Revenue: $5 to $10 billion (USD); Energy & Utilities"
"WEC Energy Group, Inc","https://www.glassdoor.com.au/Overview/Working-at-WEC-Energy-Group-EI_IE1103041.11,27.htm","www.wecenergygroup.com; Milwaukee, United States; 5001 to 10000 Employees; 7 Locations; Type: Company - Public (WEC ); Founded in 1896; Revenue: $5 to $10 billion (USD); Energy & Utilities"
Xcel Energy Inc,"https://www.glassdoor.com.au/Overview/Working-at-Xcel-Energy-EI_IE487.11,22.htm","www.xcelenergy.com; Minneapolis, United States; 10000+ Employees; 14 Locations; Type: Company - Public (XEL); Founded in 1909; Revenue: $10+ billion (USD); Energy & Utilities"
"Yum! Brands, Inc","https://www.glassdoor.com.au/Overview/Working-at-Yum-Brands-EI_IE6995.11,21.htm","www.yum.com; Louisville, United States; 10000+ Employees; 4 Locations; Type: Company - Public (YUM); Founded in 1997; Revenue: $10+ billion (USD); Restaurants & Cafes"
Zebra Technologies Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Zebra-Technologies-EI_IE2089.11,29.htm","www.zebra.com; Lincolnshire, United States; 5001 to 10000 Employees; 16 Locations; Type: Company - Public (ZBRA); Founded in 1969; Revenue: $2 to $5 billion (USD); Computer Hardware Development"
"Zimmer Biomet Holdings, Inc","https://www.glassdoor.com.au/Overview/Working-at-Zimmer-Biomet-EI_IE1017414.11,24.htm","www.zimmerbiomet.com; Warsaw, United States; 10000+ Employees; 17 Locations; Type: Company - Public (ZBH); Founded in 1927; Revenue: $5 to $10 billion (USD); Health Care Products Manufacturing"
"Zions Bancorporation, National Association","https://www.glassdoor.com.au/Overview/Working-at-National-Association-of-Commercial-Finance-Brokers-EI_IE7574837.11,61.htm","nacfb.org; London, United Kingdom; 1 to 50 Employees; Type: Non-profit Organisation; Revenue: Unknown / Non-Applicable"
Arch Capital Group Ltd.,"https://www.glassdoor.com.au/Overview/Working-at-Arch-Capital-EI_IE4346.11,23.htm","www.archcapgroup.com; Hamilton, Bermuda; 1001 to 5000 Employees; 10 Locations; Type: Company - Public (ACGL); Founded in 2000; Revenue: $10+ billion (USD); Insurance Carriers"
Accenture plc,"https://www.glassdoor.com.au/Overview/Working-at-Accenture-EI_IE4138.11,20.htm","www.accenture.com; Dublin, Ireland; 10000+ Employees; 37 Locations; Type: Company - Public (ACN); Founded in 1989; Revenue: $10+ billion (USD); Business Consulting"
"Everest Group, Ltd.","https://www.glassdoor.com.au/Overview/Working-at-Everest-Group-EI_IE117660.11,24.htm",Manually fixed
Garmin Ltd.,"https://www.glassdoor.com.au/Overview/Working-at-Garmin-EI_IE12667.11,17.htm","www.garmin.com; Olathe, United States; 10000+ Employees; 16 Locations; Type: Company - Public (GRMN); Founded in 1989; Revenue: $2 to $5 billion (USD); Consumer Product Manufacturing"
Trane Technologies plc,"https://www.glassdoor.com.au/Overview/Working-at-Trane-Technologies-EI_IE6471225.11,29.htm","trantechnologies.com; Davidson, United States; 10000+ Employees; Type: Company - Public; Revenue: $10+ billion (USD); Machinery Manufacturing"
Royal Caribbean Cruises Ltd.,"https://www.glassdoor.com.au/Overview/Working-at-Royal-Caribbean-Group-EI_IE3579.11,32.htm","www.rcgcareers.com; Miami, United States; 10000+ Employees; 12 Locations; Type: Company - Public (RCL); Founded in 1968; Revenue: $5 to $10 billion (USD); Hotels & Resorts"
"Wynn Resorts, Limited","https://www.glassdoor.com.au/Overview/Working-at-Wynn-Resorts-EI_IE15096.11,23.htm","www.wynnresorts.com; Las Vegas, United States; 10000+ Employees; 2 Locations; Type: Company - Public (WYNN); Founded in 2002; Revenue: $2 to $5 billion (USD); Gambling & Betting"
"Molina Healthcare, Inc","https://www.glassdoor.com.au/Overview/Working-at-Molina-Healthcare-EI_IE15828.11,28.htm","www.molinahealthcare.com; Long Beach, United States; 10000+ Employees; 30 Locations; Type: Company - Public (MOH); Founded in 1980; Revenue: $10+ billion (USD); Insurance Carriers"
LKQ Corporation,"https://www.glassdoor.com.au/Overview/Working-at-LKQ-EI_IE20395.11,14.htm","www.lkqcorp.com; Chicago, United States; 10000+ Employees; 3 Locations; Type: Company - Public (LKQ); Founded in 1998; Revenue: $5 to $10 billion (USD); Automotive Parts & Accessories Stores"
Centene Corporation,"https://www.glassdoor.com.au/Overview/Working-at-Centene-EI_IE13542.11,18.htm","www.centene.com; Saint Louis, United States; 10000+ Employees; 34 Locations; Type: Company - Public (CNC); Founded in 1984; Revenue: Unknown / Non-Applicable; Insurance Carriers"
Biogen Inc,"https://www.glassdoor.com.au/Overview/Working-at-Biogen-EI_IE1336.11,17.htm","www.biogen.com; Cambridge, United States; 5001 to 10000 Employees; 17 Locations; Type: Company - Public (BIIB); Founded in 1978; Revenue: $10+ billion (USD); Biotech & Pharmaceuticals"
"NRG Energy, Inc","https://www.glassdoor.com.au/Overview/Working-at-NRG-Energy-EI_IE11895.11,21.htm","www.nrg.com; Houston, United States; 5001 to 10000 Employees; 20 Locations; Type: Company - Public (NRG); Founded in 1992; Revenue: $10+ billion (USD); Energy & Utilities"
"Assurant, Inc","https://www.glassdoor.com.au/Overview/Working-at-Assurant-EI_IE13793.11,19.htm","www.assurant.com; Atlanta, United States; 10000+ Employees; 28 Locations; Type: Company - Public (AIZ); Founded in 1892; Revenue: $5 to $10 billion (USD); Insurance Carriers"
Regions Financial Corporation,"https://www.glassdoor.com/Overview/Working-at-Regions-Financial-EI_IE1397.11,28.htm",Manually fixed
"Domino's Pizza, Inc","https://www.glassdoor.com.au/Overview/Working-at-Domino-s-EI_IE2770.11,19.htm","jobs.dominos.com; Ann Arbor, United States; 10000+ Employees; Type: Company - Public (DPZ); Founded in 1960; Revenue: $10+ billion (USD); Restaurants & Cafes"
Extra Space Storage Inc,"https://www.glassdoor.com.au/Overview/Working-at-Extra-Space-Storage-EI_IE35227.11,30.htm","www.extraspace.com; Salt Lake City, United States; 5001 to 10000 Employees; 28 Locations; Type: Company - Public (EXR); Founded in 1977; Revenue: $2 to $5 billion (USD); Real Estate"
Alphabet Inc,"https://www.glassdoor.com.au/Overview/Working-at-Google-EI_IE9079.11,17.htm",Manually fixed
"Digital Realty Trust, Inc","https://www.glassdoor.com.au/Overview/Working-at-Digital-Realty-EI_IE36929.11,25.htm","www.digitalrealty.com; Austin, United States; 1001 to 5000 Employees; 26 Locations; Type: Company - Public (DLR); Founded in 2004; Revenue: $2 to $5 billion (USD); Information Technology Support Services"
MarketAxess Holdings Inc,"https://www.glassdoor.com.au/Overview/Working-at-MarketAxess-EI_IE11426.11,22.htm","www.marketaxess.com; New York, United States; 501 to 1000 Employees; 5 Locations; Type: Company - Public (MKTX); Founded in 2000; Revenue: $500 million to $1 billion (USD); Financial Transaction Processing"
"Monolithic Power Systems, Inc","https://www.glassdoor.com.au/Overview/Working-at-Monolithic-Power-Systems-EI_IE35963.11,35.htm","www.monolithicpower.com; Kirkland, United States; 1001 to 5000 Employees; 1 Location; Type: Company - Public (MPWR); Founded in 1997; Revenue: $2 to $5 billion (USD); Electronics Manufacturing"
